RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,3,American Airlines,493
Delays,LAS,3,Delta Air Lines,128.0,7.0,2592.0,16.0,2688.0,0.0,2432.0
Totals,LAS,3,Frontier Airlines,287
Delays,LAS,3,Frontier Airlines,87.0,3.0,1773.0,0.0,2672.0,0.0,3680.0
Totals,LAS,3,Hawaiian Airlines,75
Delays,LAS,3,Hawaiian Airlines,12.0,0.0,847.0,253.0,0.0,0.0,310.0
Totals,LAS,3,Spirit Airlines,774
Delays,LAS,3,Spirit Airlines,162.0,7.0,2002.0,457.0,3332.0,13.0,7032.0
Totals,LAS,3,SkyWest Airlines,360
Delays,LAS,3,SkyWest Airlines,50.0,1.0,1408.0,138.0,944.0,0.0,1709.0
Totals,LAS,3,United Airlines,1060
Delays,LAS,3,United Airlines,174.0,5.0,3082.0,83.0,1785.0,0.0,5789.0
Totals,LAS,3,US Airways,514
Delays,LAS,3,US Airways,49.0,8.0,712.0,173.0,1252.0,30.0,1548.0
Totals,LAS,3,Virgin America,346
Delays,LAS,3,Virgin America,75.0,6.0,782.0,143.0,1580.0,0.0,1915.0
Totals,LAS,3,Southwest Airlines,6380
Delays,LAS,3,Southwest Airlines,1564.0,47.0,24241.0,277.0,5733.0,68.0,33043.0
Totals,LAX,3,American Airlines,2815
Delays,LAX,3,American Airlines,478.0,45.0,12742.0,191.0,10916.0,35.0,11802.0
Totals,LAX,3,Alaska Airlines,668
Delays,LAX,3,Alaska Airlines,88.0,1.0,1401.0,53.0,701.0,0.0,2000.0
Totals,LAX,3,JetBlue Airways,360
Delays,LAX,3,JetBlue Airways,94.0,1.0,786.0,0.0,3512.0,13.0,2074.0
Totals,LAX,3,Delta Air Lines,2093
Delays,LAX,3,Delta Air Lines,513.0,6.0,9059.0,886.0,7809.0,0.0,9025.0
Totals,LAX,3,Frontier Airlines,66
Delays,LAX,3,Frontier Airlines,21.0,0.0,193.0,0.0,274.0,0.0,616.0
Totals,LAX,3,Hawaiian Airlines,124
Delays,LAX,3,Hawaiian Airlines,5.0,0.0,1098.0,329.0,71.0,0.0,0.0
Totals,LAX,3,Envoy Air,31
Delays,LAX,3,Envoy Air,4.0,2.0,211.0,0.0,88.0,0.0,0.0
Totals,LAX,3,Spirit Airlines,279
Delays,LAX,3,Spirit Airlines,80.0,2.0,1145.0,13.0,2375.0,17.0,2932.0
Totals,LAX,3,SkyWest Airlines,4075
Delays,LAX,3,SkyWest Airlines,810.0,28.0,13625.0,108.0,5456.0,82.0,22849.0
Totals,LAX,3,United Airlines,2478
Delays,LAX,3,United Airlines,578.0,29.0,12921.0,219.0,8007.0,0.0,9672.0
Totals,LAX,3,US Airways,625
