RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,LAS,10,United Airlines,1124
Delays,LAS,10,United Airlines,150.0,2.0,2399.0,126.0,3314.0,0.0,5333.0
Totals,LAS,10,Virgin America,365
Delays,LAS,10,Virgin America,85.0,0.0,336.0,27.0,1683.0,0.0,2834.0
Totals,LAS,10,Southwest Airlines,6370
Delays,LAS,10,Southwest Airlines,991.0,6.0,13584.0,430.0,9221.0,0.0,23204.0
Totals,LAX,10,American Airlines,3293
Delays,LAX,10,American Airlines,353.0,14.0,8780.0,50.0,6216.0,125.0,6145.0
Totals,LAX,10,Alaska Airlines,915
Delays,LAX,10,Alaska Airlines,43.0,2.0,613.0,15.0,1276.0,69.0,592.0
Totals,LAX,10,JetBlue Airways,381
Delays,LAX,10,JetBlue Airways,58.0,2.0,865.0,0.0,1471.0,0.0,672.0
Totals,LAX,10,Delta Air Lines,2646
Delays,LAX,10,Delta Air Lines,293.0,0.0,9106.0,49.0,3639.0,0.0,4743.0
Totals,LAX,10,Frontier Airlines,147
Delays,LAX,10,Frontier Airlines,15.0,0.0,910.0,0.0,329.0,0.0,468.0
Totals,LAX,10,Hawaiian Airlines,124
Delays,LAX,10,Hawaiian Airlines,17.0,1.0,825.0,0.0,201.0,0.0,247.0
Totals,LAX,10,Spirit Airlines,488
Delays,LAX,10,Spirit Airlines,92.0,2.0,190.0,0.0,6077.0,0.0,345.0
Totals,LAX,10,SkyWest Airlines,2534
Delays,LAX,10,SkyWest Airlines,352.0,10.0,7150.0,541.0,2326.0,0.0,7786.0
Totals,LAX,10,United Airlines,2562
Delays,LAX,10,United Airlines,339.0,8.0,8589.0,281.0,2951.0,0.0,6477.0
Totals,LAX,10,Virgin America,1141
Delays,LAX,10,Virgin America,183.0,0.0,3003.0,439.0,3995.0,79.0,3456.0
Totals,LAX,10,Southwest Airlines,3497
Delays,LAX,10,Southwest Airlines,542.0,36.0,5766.0,600.0,4555.0,0.0,14000.0
Totals,MSP,10,American Airlines,675
Delays,MSP,10,American Airlines,72.0,7.0,1727.0,211.0,1010.0,0.0,1324.0
Totals,MSP,10,Alaska Airlines,62
Delays,MSP,10,Alaska Airlines,8.0,0.0,89.0,0.0,120.0,0.0,133.0
Totals,MSP,10,Delta Air Lines,5491
Delays,MSP,10,Delta Air Lines,474.0,2.0,12160.0,134.0,4905.0,0.0,3542.0
Totals,MSP,10,ExpressJet Airlines,352
Delays,MSP,10,ExpressJet Airlines,73.0,2.0,1521.0,0.0,344.0,0.0,1557.0
Totals,MSP,10,Frontier Airlines,188
Delays,MSP,10,Frontier Airlines,31.0,0.0,668.0,0.0,581.0,0.0,771.0
Totals,MSP,10,Envoy Air,3
Delays,MSP,10,Envoy Air,0.0,0.0,0,0,0,0,0
Totals,MSP,10,Spirit Airlines,316
Delays,MSP,10,Spirit Airlines,56.0,0.0,131.0,0.0,2882.0,0.0,272.0
