RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,1,American Airlines,397
Delays,LAS,1,Delta Air Lines,83.0,6.0,2186.0,138.0,1767.0,0.0,1986.0
Totals,LAS,1,Frontier Airlines,228
Delays,LAS,1,Frontier Airlines,54.0,1.0,1615.0,0.0,1144.0,0.0,2313.0
Totals,LAS,1,Hawaiian Airlines,75
Delays,LAS,1,Hawaiian Airlines,8.0,0.0,815.0,4.0,0.0,0.0,108.0
Totals,LAS,1,Spirit Airlines,739
Delays,LAS,1,Spirit Airlines,140.0,5.0,938.0,79.0,5618.0,0.0,1577.0
Totals,LAS,1,SkyWest Airlines,261
Delays,LAS,1,SkyWest Airlines,56.0,1.0,896.0,39.0,358.0,0.0,2327.0
Totals,LAS,1,United Airlines,1045
Delays,LAS,1,United Airlines,166.0,14.0,1947.0,18.0,3851.0,0.0,3440.0
Totals,LAS,1,US Airways,500
Delays,LAS,1,US Airways,36.0,9.0,948.0,0.0,1222.0,0.0,590.0
Totals,LAS,1,Virgin America,339
Delays,LAS,1,Virgin America,61.0,2.0,674.0,212.0,1170.0,0.0,1640.0
Totals,LAS,1,Southwest Airlines,5990
Delays,LAS,1,Southwest Airlines,1396.0,33.0,18540.0,1150.0,5457.0,0.0,32236.0
Totals,LAX,1,American Airlines,2632
Delays,LAX,1,American Airlines,301.0,41.0,6231.0,265.0,8221.0,108.0,7610.0
Totals,LAX,1,Alaska Airlines,592
Delays,LAX,1,Alaska Airlines,46.0,1.0,512.0,0.0,942.0,0.0,1814.0
Totals,LAX,1,JetBlue Airways,357
Delays,LAX,1,JetBlue Airways,63.0,17.0,1297.0,181.0,1449.0,0.0,891.0
Totals,LAX,1,Delta Air Lines,1805
Delays,LAX,1,Delta Air Lines,223.0,13.0,4592.0,154.0,2867.0,0.0,2624.0
Totals,LAX,1,Frontier Airlines,86
Delays,LAX,1,Frontier Airlines,12.0,0.0,87.0,0.0,249.0,0.0,730.0
Totals,LAX,1,Hawaiian Airlines,130
Delays,LAX,1,Hawaiian Airlines,11.0,1.0,940.0,0.0,0.0,0.0,48.0
Totals,LAX,1,Envoy Air,31
Delays,LAX,1,Envoy Air,5.0,2.0,563.0,0.0,102.0,0.0,0.0
Totals,LAX,1,Spirit Airlines,274
Delays,LAX,1,Spirit Airlines,77.0,1.0,1215.0,0.0,3293.0,0.0,771.0
Totals,LAX,1,SkyWest Airlines,4184
Delays,LAX,1,SkyWest Airlines,730.0,40.0,14346.0,3055.0,6821.0,144.0,19806.0
Totals,LAX,1,United Airlines,2372
Delays,LAX,1,United Airlines,491.0,47.0,11026.0,0.0,6700.0,0.0,9948.0
Totals,LAX,1,US Airways,575
Delays,LAX,1,US Airways,51.0,12.0,1191.0,0.0,3042.0,22.0,881.0
Totals,LAX,1,Virgin America,1013
Delays,LAX,1,Virgin America,143.0,13.0,1958.0,1148.0,4975.0,0.0,1523.0
Totals,LAX,1,Southwest Airlines,3289
Delays,LAX,1,Southwest Airlines,818.0,63.0,11533.0,823.0,4996.0,0.0,18420.0
Totals,MSP,1,American Airlines,353
Delays,MSP,1,American Airlines,76.0,4.0,3919.0,6.0,1108.0,0.0,3406.0
Totals,MSP,1,Alaska Airlines,35
Delays,MSP,1,Alaska Airlines,6.0,0.0,0.0,0.0,49.0,0.0,179.0
Totals,MSP,1,Delta Air Lines,4174
Delays,MSP,1,Delta Air Lines,586.0,23.0,13102.0,951.0,9474.0,0.0,4458.0
Totals,MSP,1,ExpressJet Airlines,806
Delays,MSP,1,ExpressJet Airlines,180.0,31.0,5389.0,72.0,2493.0,0.0,4850.0
Totals,MSP,1,Frontier Airlines,72
Delays,MSP,1,Frontier Airlines,20.0,1.0,388.0,0.0,541.0,0.0,716.0
Totals,MSP,1,Envoy Air,62
Delays,MSP,1,Envoy Air,22.0,8.0,273.0,15.0,671.0,27.0,1206.0
Totals,MSP,1,Spirit Airlines,341
