RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Delays,LAS,7,Spirit Airlines,220.0,7.0,2234.0,88.0,4977.0,0.0,6245.0
Totals,LAS,7,SkyWest Airlines,182
Delays,LAS,7,SkyWest Airlines,27.0,2.0,519.0,58.0,83.0,0.0,865.0
Totals,LAS,7,United Airlines,952
Delays,LAS,7,United Airlines,208.0,10.0,2291.0,175.0,2648.0,0.0,6620.0
Totals,LAS,7,Virgin America,330
Delays,LAS,7,Virgin America,76.0,2.0,1036.0,55.0,2259.0,0.0,1928.0
Totals,LAS,7,Southwest Airlines,6600
Delays,LAS,7,Southwest Airlines,2210.0,27.0,38909.0,2114.0,9173.0,0.0,51834.0
Totals,LAX,7,American Airlines,3559
Delays,LAX,7,American Airlines,621.0,24.0,12072.0,538.0,7955.0,87.0,14760.0
Totals,LAX,7,Alaska Airlines,808
Delays,LAX,7,Alaska Airlines,101.0,4.0,962.0,0.0,1195.0,11.0,4480.0
Totals,LAX,7,JetBlue Airways,399
Delays,LAX,7,JetBlue Airways,93.0,1.0,1440.0,0.0,1737.0,0.0,1815.0
Totals,LAX,7,Delta Air Lines,2661
Delays,LAX,7,Delta Air Lines,630.0,2.0,9541.0,950.0,5559.0,70.0,13642.0
Totals,LAX,7,Frontier Airlines,145
Delays,LAX,7,Frontier Airlines,39.0,0.0,193.0,0.0,893.0,0.0,756.0
Totals,LAX,7,Hawaiian Airlines,186
Delays,LAX,7,Hawaiian Airlines,15.0,1.0,798.0,0.0,4.0,0.0,156.0
Totals,LAX,7,Envoy Air,31
Delays,LAX,7,Envoy Air,9.0,0.0,45.0,0.0,117.0,0.0,323.0
Totals,LAX,7,Spirit Airlines,449
Delays,LAX,7,Spirit Airlines,156.0,8.0,2136.0,21.0,3319.0,38.0,3706.0
Totals,LAX,7,SkyWest Airlines,3461
Delays,LAX,7,SkyWest Airlines,1045.0,80.0,20217.0,342.0,5621.0,43.0,38632.0
Totals,LAX,7,United Airlines,2863
Delays,LAX,7,United Airlines,930.0,31.0,16955.0,320.0,6024.0,0.0,28342.0
Totals,LAX,7,Virgin America,1103
Delays,LAX,7,Virgin America,281.0,3.0,2446.0,775.0,5593.0,131.0,6608.0
Totals,LAX,7,Southwest Airlines,3706
Delays,LAX,7,Southwest Airlines,1374.0,129.0,14728.0,969.0,9035.0,0.0,52722.0
Totals,MSP,7,American Airlines,711
Delays,MSP,7,American Airlines,107.0,8.0,1500.0,632.0,1221.0,0.0,2656.0
Totals,MSP,7,Alaska Airlines,62
Delays,MSP,7,Alaska Airlines,8.0,0.0,44.0,0.0,132.0,0.0,30.0
Totals,MSP,7,Delta Air Lines,6140
Delays,MSP,7,Delta Air Lines,885.0,2.0,22300.0,1760.0,12705.0,256.0,8989.0
Totals,MSP,7,ExpressJet Airlines,617
Delays,MSP,7,ExpressJet Airlines,128.0,8.0,3190.0,0.0,831.0,0.0,3646.0
Totals,MSP,7,Frontier Airlines,204
Delays,MSP,7,Frontier Airlines,59.0,3.0,957.0,10.0,2110.0,0.0,1922.0
Totals,MSP,7,Spirit Airlines,310
Delays,MSP,7,Spirit Airlines,123.0,8.0,1016.0,140.0,4088.0,51.0,2857.0
Totals,MSP,7,SkyWest Airlines,2644
Delays,MSP,7,SkyWest Airlines,320.0,8.0,5502.0,868.0,2471.0,0.0,7723.0
Totals,MSP,7,United Airlines,386
Delays,MSP,7,United Airlines,93.0,11.0,1524.0,91.0,1629.0,0.0,2454.0
Totals,MSP,7,Southwest Airlines,740
Delays,MSP,7,Southwest Airlines,187.0,4.0,1911.0,420.0,957.0,0.0,5917.0
Totals,ORD,7,American Airlines,5301
Delays,ORD,7,American Airlines,1348.0,42.0,23223.0,2512.0,15825.0,74.0,42604.0
Totals,ORD,7,Alaska Airlines,196
Delays,ORD,7,Alaska Airlines,19.0,0.0,144.0,0.0,443.0,0.0,342.0
Totals,ORD,7,JetBlue Airways,278
Delays,ORD,7,JetBlue Airways,72.0,5.0,1026.0,171.0,1836.0,19.0,2147.0
Totals,ORD,7,Delta Air Lines,678
Delays,ORD,7,Delta Air Lines,143.0,1.0,2570.0,570.0,1630.0,0.0,3904.0
Totals,ORD,7,ExpressJet Airlines,4498
Delays,ORD,7,ExpressJet Airlines,858.0,104.0,15409.0,2516.0,17151.0,0.0,24768.0
Totals,ORD,7,Frontier Airlines,494
Delays,ORD,7,Frontier Airlines,156.0,0.0,1761.0,48.0,5646.0,0.0,3637.0
Totals,ORD,7,Envoy Air,6094
Delays,ORD,7,Envoy Air,1213.0,139.0,14440.0,5636.0,14716.0,25.0,22945.0
Totals,ORD,7,Spirit Airlines,1023
Delays,ORD,7,Spirit Airlines,408.0,26.0,6877.0,957.0,8343.0,274.0,8045.0
Totals,ORD,7,SkyWest Airlines,3542
Delays,ORD,7,SkyWest Airlines,886.0,85.0,21235.0,2246.0,9286.0,286.0,20901.0
Totals,ORD,7,United Airlines,5967
Delays,ORD,7,United Airlines,2088.0,80.0,46452.0,4157.0,24646.0,0.0,52824.0
Totals,ORD,7,Virgin America,152
Delays,ORD,7,Virgin America,25.0,0.0,239.0,89.0,695.0,0.0,657.0
Totals,PHX,7,American Airlines,5664
Delays,PHX,7,American Airlines,972.0,27.0,24428.0,916.0,13329.0,291.0,14596.0
Totals,PHX,7,Alaska Airlines,186
Delays,PHX,7,Alaska Airlines,13.0,0.0,254.0,31.0,155.0,0.0,518.0
Totals,PHX,7,JetBlue Airways,62
Delays,PHX,7,JetBlue Airways,17.0,0.0,146.0,0.0,58.0,0.0,509.0
Totals,PHX,7,Delta Air Lines,642
Delays,PHX,7,Delta Air Lines,72.0,0.0,4584.0,142.0,669.0,0.0,1567.0
Totals,PHX,7,ExpressJet Airlines,2
Delays,PHX,7,ExpressJet Airlines,1.0,0.0,15.0,0.0,18.0,0.0,0.0
Totals,PHX,7,Frontier Airlines,155
Delays,PHX,7,Frontier Airlines,39.0,1.0,950.0,7.0,1050.0,0.0,2076.0
Totals,PHX,7,Hawaiian Airlines,31
Delays,PHX,7,Hawaiian Airlines,1.0,0.0,310.0,0.0,0.0,0.0,0.0
Totals,PHX,7,Spirit Airlines,62
Delays,PHX,7,Spirit Airlines,11.0,0.0,132.0,0.0,277.0,0.0,162.0
Totals,PHX,7,SkyWest Airlines,2036
Delays,PHX,7,SkyWest Airlines,307.0,21.0,6527.0,1524.0,3327.0,91.0,9848.0
Totals,PHX,7,United Airlines,309
Delays,PHX,7,United Airlines,70.0,0.0,1359.0,181.0,845.0,0.0,1498.0
Totals,PHX,7,Southwest Airlines,5125
Delays,PHX,7,Southwest Airlines,1726.0,14.0,26088.0,1245.0,9412.0,49.0,41935.0
Totals,SFO,7,American Airlines,1449
Delays,SFO,7,American Airlines,238.0,8.0,6076.0,0.0,3531.0,0.0,6409.0
Totals,SFO,7,Alaska Airlines,488
Delays,SFO,7,Alaska Airlines,73.0,0.0,848.0,0.0,560.0,22.0,3161.0
Totals,SFO,7,JetBlue Airways,461
Delays,SFO,7,JetBlue Airways,124.0,2.0,857.0,0.0,932.0,0.0,4234.0
Totals,SFO,7,Delta Air Lines,1141
Delays,SFO,7,Delta Air Lines,229.0,3.0,1785.0,0.0,3549.0,0.0,6345.0
Totals,SFO,7,Frontier Airlines,185
Delays,SFO,7,Frontier Airlines,47.0,0.0,750.0,0.0,1535.0,0.0,1464.0
Totals,SFO,7,Hawaiian Airlines,62
Delays,SFO,7,Hawaiian Airlines,9.0,1.0,2087.0,0.0,0.0,1.0,0.0
Totals,SFO,7,SkyWest Airlines,3102
Delays,SFO,7,SkyWest Airlines,641.0,75.0,12101.0,87.0,3342.0,0.0,17802.0
Totals,SFO,7,United Airlines,4685
Delays,SFO,7,United Airlines,1371.0,33.0,24868.0,56.0,8975.0,0.0,29927.0
Totals,SFO,7,Virgin America,1500
Delays,SFO,7,Virgin America,305.0,3.0,2878.0,235.0,5624.0,196.0,7106.0
Totals,SFO,7,Southwest Airlines,1371
Delays,SFO,7,Southwest Airlines,432.0,50.0,4179.0,256.0,3787.0,0.0,13673.0
