RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,11,American Airlines,933
Delays,LAS,11,SkyWest Airlines,27.0,1.0,129.0,44.0,264.0,0.0,760.0
Totals,LAS,11,United Airlines,971
Delays,LAS,11,United Airlines,129.0,5.0,1775.0,42.0,2720.0,0.0,2392.0
Totals,LAS,11,Virgin America,324
Delays,LAS,11,Virgin America,64.0,1.0,666.0,44.0,911.0,106.0,1995.0
Totals,LAS,11,Southwest Airlines,6038
Delays,LAS,11,Southwest Airlines,1336.0,27.0,19684.0,982.0,6680.0,0.0,22979.0
Totals,LAX,11,American Airlines,3154
Delays,LAX,11,American Airlines,367.0,12.0,8188.0,1439.0,4200.0,61.0,4628.0
Totals,LAX,11,Alaska Airlines,807
Delays,LAX,11,Alaska Airlines,74.0,2.0,672.0,0.0,1342.0,38.0,1365.0
Totals,LAX,11,JetBlue Airways,392
Delays,LAX,11,JetBlue Airways,79.0,1.0,1129.0,0.0,1587.0,449.0,1774.0
Totals,LAX,11,Delta Air Lines,2631
Delays,LAX,11,Delta Air Lines,512.0,1.0,9738.0,57.0,3508.0,0.0,9215.0
Totals,LAX,11,Frontier Airlines,162
Delays,LAX,11,Frontier Airlines,38.0,2.0,222.0,0.0,974.0,0.0,1257.0
Totals,LAX,11,Hawaiian Airlines,120
Delays,LAX,11,Hawaiian Airlines,7.0,0.0,656.0,0.0,0.0,0.0,0.0
Totals,LAX,11,Spirit Airlines,495
Delays,LAX,11,Spirit Airlines,140.0,3.0,1839.0,3.0,2722.0,22.0,2274.0
Totals,LAX,11,SkyWest Airlines,1949
Delays,LAX,11,SkyWest Airlines,236.0,8.0,4833.0,153.0,2847.0,0.0,5353.0
Totals,LAX,11,United Airlines,2220
Delays,LAX,11,United Airlines,288.0,17.0,5931.0,0.0,3277.0,0.0,7535.0
Totals,LAX,11,Virgin America,1099
Delays,LAX,11,Virgin America,178.0,5.0,2302.0,290.0,2029.0,0.0,2727.0
Totals,LAX,11,Southwest Airlines,3430
Delays,LAX,11,Southwest Airlines,930.0,45.0,8425.0,236.0,3288.0,4.0,19986.0
Totals,MSP,11,American Airlines,694
Delays,MSP,11,American Airlines,85.0,7.0,1761.0,297.0,2172.0,0.0,3478.0
Totals,MSP,11,Alaska Airlines,58
Delays,MSP,11,Alaska Airlines,7.0,1.0,30.0,0.0,104.0,0.0,126.0
Totals,MSP,11,Delta Air Lines,4770
Delays,MSP,11,Delta Air Lines,542.0,0.0,13437.0,2054.0,10155.0,42.0,5374.0
Totals,MSP,11,ExpressJet Airlines,265
Delays,MSP,11,ExpressJet Airlines,51.0,4.0,1307.0,0.0,535.0,0.0,1435.0
Totals,MSP,11,Frontier Airlines,110
Delays,MSP,11,Frontier Airlines,19.0,0.0,98.0,2.0,636.0,0.0,360.0
Totals,MSP,11,Envoy Air,5
Delays,MSP,11,Envoy Air,1.0,0.0,45.0,0.0,0.0,0.0,92.0
Totals,MSP,11,Spirit Airlines,318
Delays,MSP,11,Spirit Airlines,66.0,3.0,456.0,146.0,2722.0,0.0,1388.0
Totals,MSP,11,SkyWest Airlines,2698
Delays,MSP,11,SkyWest Airlines,399.0,16.0,8724.0,983.0,6357.0,0.0,8988.0
Totals,MSP,11,United Airlines,291
Delays,MSP,11,United Airlines,36.0,5.0,651.0,66.0,2433.0,0.0,413.0
Totals,MSP,11,Southwest Airlines,617
Delays,MSP,11,Southwest Airlines,90.0,7.0,2085.0,52.0,1131.0,0.0,1893.0
Totals,ORD,11,American Airlines,5009
Delays,ORD,11,American Airlines,934.0,96.0,18427.0,13826.0,9355.0,38.0,27359.0
Totals,ORD,11,Alaska Airlines,145
Delays,ORD,11,Alaska Airlines,27.0,0.0,304.0,55.0,204.0,2.0,1424.0
Totals,ORD,11,JetBlue Airways,165
Delays,ORD,11,JetBlue Airways,40.0,2.0,503.0,240.0,656.0,0.0,1562.0
Totals,ORD,11,Delta Air Lines,657
Delays,ORD,11,Delta Air Lines,122.0,0.0,1912.0,2065.0,941.0,0.0,5961.0
Totals,ORD,11,ExpressJet Airlines,3480
Delays,ORD,11,ExpressJet Airlines,483.0,135.0,9158.0,6396.0,9153.0,0.0,13385.0
Totals,ORD,11,Frontier Airlines,485
Delays,ORD,11,Frontier Airlines,144.0,7.0,3144.0,681.0,4477.0,0.0,4428.0
Totals,ORD,11,Envoy Air,5953
Delays,ORD,11,Envoy Air,829.0,359.0,17687.0,9974.0,11116.0,0.0,17460.0
Totals,ORD,11,Spirit Airlines,895
