ATL,11,Frontier Airlines,422,132.0,0.0,2927.0,25.0,3557.0,0.0,4798.0
ATL,12,Frontier Airlines,433,117.0,3.0,2263.0,80.0,2379.0,0.0,3499.0
ATL,1,Envoy Air,133,42.0,14.0,746.0,0.0,1432.0,0.0,1901.0
ATL,2,Envoy Air,153,40.0,24.0,343.0,33.0,1242.0,0.0,1754.0
ATL,3,Envoy Air,130,44.0,15.0,636.0,69.0,1466.0,0.0,710.0
ATL,4,Envoy Air,138,34.0,9.0,194.0,15.0,515.0,0.0,1029.0
ATL,5,Envoy Air,139,31.0,10.0,182.0,861.0,1358.0,15.0,806.0
ATL,6,Envoy Air,165,45.0,13.0,462.0,161.0,2409.0,0.0,570.0
ATL,7,Envoy Air,174,42.0,17.0,461.0,59.0,1124.0,0.0,1238.0
ATL,8,Envoy Air,171,41.0,9.0,153.0,69.0,661.0,0.0,1157.0
ATL,9,Envoy Air,68,10.0,2.0,54.0,65.0,328.0,0.0,327.0
ATL,10,Envoy Air,31,2.0,0.0,8.0,0.0,0.0,0.0,105.0
ATL,11,Envoy Air,24,9.0,1.0,1.0,0.0,296.0,0.0,304.0
ATL,1,Spirit Airlines,248,61.0,2.0,502.0,18.0,2052.0,0.0,608.0
ATL,2,Spirit Airlines,224,43.0,6.0,1242.0,0.0,1325.0,10.0,1199.0
ATL,3,Spirit Airlines,248,50.0,1.0,721.0,83.0,1192.0,0.0,1272.0
ATL,4,Spirit Airlines,256,73.0,0.0,1041.0,16.0,2917.0,0.0,1231.0
ATL,5,Spirit Airlines,328,130.0,4.0,2550.0,333.0,3485.0,33.0,3048.0
ATL,6,Spirit Airlines,369,181.0,16.0,3982.0,468.0,7519.0,41.0,3369.0
ATL,7,Spirit Airlines,434,158.0,4.0,2210.0,94.0,2863.0,114.0,5579.0
ATL,8,Spirit Airlines,469,193.0,3.0,2530.0,0.0,7513.0,36.0,2845.0
ATL,9,Spirit Airlines,581,231.0,4.0,4769.0,185.0,5933.0,12.0,4485.0
ATL,10,Spirit Airlines,634,219.0,3.0,1233.0,0.0,10344.0,89.0,739.0
ATL,11,Spirit Airlines,604,181.0,4.0,3162.0,170.0,4731.0,179.0,993.0
ATL,12,Spirit Airlines,608,245.0,13.0,6152.0,869.0,2888.0,83.0,6424.0
ATL,1,SkyWest Airlines,309,91.0,9.0,1103.0,92.0,920.0,0.0,4671.0
ATL,2,SkyWest Airlines,378,108.0,17.0,2425.0,219.0,1040.0,45.0,4854.0
ATL,3,SkyWest Airlines,351,66.0,4.0,674.0,115.0,385.0,0.0,2218.0
ATL,4,SkyWest Airlines,337,51.0,7.0,345.0,251.0,1656.0,0.0,1922.0
ATL,5,SkyWest Airlines,382,55.0,7.0,1422.0,72.0,1011.0,0.0,1960.0
ATL,6,SkyWest Airlines,311,65.0,16.0,2373.0,484.0,1865.0,0.0,2299.0
ATL,7,SkyWest Airlines,426,73.0,14.0,2502.0,240.0,1969.0,0.0,2197.0
ATL,8,SkyWest Airlines,439,61.0,11.0,1167.0,65.0,1764.0,55.0,2441.0
ATL,9,SkyWest Airlines,389,36.0,1.0,475.0,22.0,867.0,0.0,1254.0
ATL,10,SkyWest Airlines,377,31.0,2.0,529.0,0.0,231.0,0.0,1391.0
ATL,11,SkyWest Airlines,479,79.0,6.0,2529.0,205.0,1086.0,0.0,2198.0
ATL,12,SkyWest Airlines,429,96.0,13.0,5554.0,165.0,888.0,0.0,5292.0
ATL,1,United Airlines,219,47.0,15.0,357.0,113.0,675.0,0.0,938.0
ATL,2,United Airlines,227,55.0,18.0,741.0,196.0,1033.0,0.0,1119.0
ATL,3,United Airlines,306,49.0,11.0,514.0,98.0,1111.0,0.0,1224.0
ATL,4,United Airlines,331,82.0,4.0,1011.0,209.0,1367.0,0.0,2194.0
ATL,5,United Airlines,353,125.0,3.0,2252.0,415.0,1395.0,0.0,3463.0
ATL,6,United Airlines,392,149.0,20.0,2912.0,690.0,1917.0,0.0,4115.0
ATL,7,United Airlines,315,84.0,8.0,1170.0,236.0,2034.0,0.0,2696.0
ATL,8,United Airlines,317,66.0,4.0,852.0,132.0,1739.0,0.0,1835.0
ATL,9,United Airlines,326,58.0,1.0,378.0,183.0,515.0,0.0,1305.0
ATL,10,United Airlines,375,46.0,2.0,304.0,0.0,1011.0,0.0,676.0
ATL,11,United Airlines,324,67.0,1.0,584.0,96.0,1205.0,0.0,1938.0
ATL,12,United Airlines,295,100.0,4.0,1449.0,271.0,2219.0,0.0,2881.0
ATL,1,US Airways,513,53.0,13.0,633.0,194.0,1434.0,0.0,743.0
