RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,8,American Airlines,990
Delays,LAS,8,SkyWest Airlines,28.0,3.0,298.0,104.0,434.0,0.0,529.0
Totals,LAS,8,United Airlines,1047
Delays,LAS,8,United Airlines,179.0,9.0,1901.0,322.0,3636.0,0.0,5164.0
Totals,LAS,8,Virgin America,396
Delays,LAS,8,Virgin America,87.0,4.0,763.0,64.0,2162.0,45.0,2910.0
Totals,LAS,8,Southwest Airlines,6495
Delays,LAS,8,Southwest Airlines,1664.0,52.0,33816.0,4626.0,9963.0,0.0,38154.0
Totals,LAX,8,American Airlines,3520
Delays,LAX,8,American Airlines,585.0,22.0,13976.0,61.0,6030.0,93.0,12574.0
Totals,LAX,8,Alaska Airlines,794
Delays,LAX,8,Alaska Airlines,128.0,1.0,1155.0,0.0,2122.0,0.0,3373.0
Totals,LAX,8,JetBlue Airways,398
Delays,LAX,8,JetBlue Airways,95.0,1.0,2925.0,0.0,830.0,0.0,2590.0
Totals,LAX,8,Delta Air Lines,2719
Delays,LAX,8,Delta Air Lines,526.0,3.0,8822.0,0.0,4706.0,0.0,9250.0
Totals,LAX,8,Frontier Airlines,150
Delays,LAX,8,Frontier Airlines,36.0,1.0,1204.0,56.0,1204.0,0.0,433.0
Totals,LAX,8,Hawaiian Airlines,184
Delays,LAX,8,Hawaiian Airlines,19.0,1.0,2205.0,0.0,75.0,0.0,48.0
Totals,LAX,8,Envoy Air,17
Delays,LAX,8,Envoy Air,2.0,2.0,73.0,0.0,63.0,0.0,0.0
Totals,LAX,8,Spirit Airlines,477
Delays,LAX,8,Spirit Airlines,196.0,5.0,3234.0,0.0,8350.0,6.0,4111.0
Totals,LAX,8,SkyWest Airlines,3490
Delays,LAX,8,SkyWest Airlines,878.0,71.0,14312.0,185.0,4832.0,132.0,23983.0
Totals,LAX,8,United Airlines,2774
Delays,LAX,8,United Airlines,688.0,23.0,12278.0,107.0,4773.0,0.0,12595.0
Totals,LAX,8,Virgin America,1188
Delays,LAX,8,Virgin America,265.0,6.0,3704.0,371.0,3974.0,5.0,6058.0
Totals,LAX,8,Southwest Airlines,3554
Delays,LAX,8,Southwest Airlines,939.0,108.0,11848.0,956.0,6142.0,0.0,28733.0
Totals,MSP,8,American Airlines,690
Delays,MSP,8,American Airlines,90.0,4.0,2518.0,153.0,1432.0,8.0,2026.0
Totals,MSP,8,Alaska Airlines,62
Delays,MSP,8,Alaska Airlines,4.0,0.0,81.0,0.0,103.0,13.0,8.0
Totals,MSP,8,Delta Air Lines,6061
Delays,MSP,8,Delta Air Lines,733.0,4.0,18052.0,1599.0,12776.0,0.0,7466.0
Totals,MSP,8,ExpressJet Airlines,610
Delays,MSP,8,ExpressJet Airlines,126.0,10.0,3680.0,0.0,890.0,0.0,3243.0
Totals,MSP,8,Frontier Airlines,196
Delays,MSP,8,Frontier Airlines,43.0,0.0,728.0,6.0,1678.0,0.0,1356.0
Totals,MSP,8,Spirit Airlines,310
Delays,MSP,8,Spirit Airlines,141.0,13.0,1616.0,20.0,5308.0,0.0,3853.0
Totals,MSP,8,SkyWest Airlines,2590
Delays,MSP,8,SkyWest Airlines,271.0,14.0,5565.0,514.0,2918.0,0.0,5282.0
Totals,MSP,8,United Airlines,378
Delays,MSP,8,United Airlines,59.0,2.0,1157.0,11.0,1418.0,26.0,1796.0
Totals,MSP,8,Southwest Airlines,725
Delays,MSP,8,Southwest Airlines,107.0,5.0,1943.0,224.0,850.0,0.0,1859.0
Totals,ORD,8,American Airlines,5256
Delays,ORD,8,American Airlines,1097.0,77.0,19591.0,3084.0,12969.0,47.0,21964.0
Totals,ORD,8,Alaska Airlines,194
Delays,ORD,8,Alaska Airlines,35.0,1.0,571.0,134.0,426.0,0.0,1529.0
Totals,ORD,8,JetBlue Airways,279
Delays,ORD,8,JetBlue Airways,68.0,2.0,1012.0,170.0,1104.0,14.0,3129.0
Totals,ORD,8,Delta Air Lines,673
Delays,ORD,8,Delta Air Lines,114.0,0.0,1922.0,458.0,1348.0,0.0,3834.0
Totals,ORD,8,ExpressJet Airlines,4370
Delays,ORD,8,ExpressJet Airlines,714.0,95.0,12701.0,3795.0,16840.0,0.0,17169.0
Totals,ORD,8,Frontier Airlines,478
Delays,ORD,8,Frontier Airlines,148.0,0.0,1765.0,264.0,5037.0,0.0,3522.0
Totals,ORD,8,Envoy Air,5988
Delays,ORD,8,Envoy Air,1100.0,234.0,15287.0,5300.0,9789.0,60.0,17189.0
Totals,ORD,8,Spirit Airlines,1023
Delays,ORD,8,Spirit Airlines,391.0,24.0,5665.0,721.0,12611.0,50.0,4526.0
Totals,ORD,8,SkyWest Airlines,3820
