RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,4,American Airlines,469
Totals,LAS,4,Delta Air Lines,931
Delays,LAS,4,Delta Air Lines,92.0,0.0,1903.0,12.0,1771.0,0.0,2404.0
Totals,LAS,4,Frontier Airlines,305
Delays,LAS,4,Frontier Airlines,67.0,1.0,533.0,0.0,1858.0,0.0,2705.0
Totals,LAS,4,Hawaiian Airlines,73
Delays,LAS,4,Hawaiian Airlines,7.0,0.0,1264.0,84.0,0.0,0.0,216.0
Totals,LAS,4,Spirit Airlines,778
Delays,LAS,4,Spirit Airlines,177.0,5.0,1753.0,189.0,3708.0,0.0,3787.0
Totals,LAS,4,SkyWest Airlines,303
Delays,LAS,4,SkyWest Airlines,33.0,3.0,485.0,52.0,657.0,0.0,1010.0
Totals,LAS,4,United Airlines,1074
Delays,LAS,4,United Airlines,191.0,6.0,2921.0,112.0,2076.0,0.0,5616.0
Totals,LAS,4,US Airways,501
Delays,LAS,4,US Airways,48.0,2.0,1004.0,0.0,749.0,0.0,831.0
Totals,LAS,4,Virgin America,329
Delays,LAS,4,Virgin America,51.0,1.0,533.0,121.0,1279.0,0.0,995.0
Totals,LAS,4,Southwest Airlines,6297
Delays,LAS,4,Southwest Airlines,1517.0,23.0,21673.0,880.0,5301.0,23.0,29757.0
Totals,LAX,4,American Airlines,2683
Delays,LAX,4,American Airlines,364.0,13.0,7426.0,1218.0,6130.0,31.0,6475.0
Totals,LAX,4,Alaska Airlines,664
Delays,LAX,4,Alaska Airlines,52.0,1.0,1076.0,0.0,381.0,0.0,1292.0
Totals,LAX,4,JetBlue Airways,352
Delays,LAX,4,JetBlue Airways,74.0,0.0,1155.0,39.0,1764.0,0.0,1041.0
Totals,LAX,4,Delta Air Lines,1991
Delays,LAX,4,Delta Air Lines,306.0,2.0,9777.0,47.0,3388.0,0.0,4781.0
Totals,LAX,4,Frontier Airlines,81
Delays,LAX,4,Frontier Airlines,15.0,0.0,166.0,0.0,589.0,0.0,247.0
Totals,LAX,4,Hawaiian Airlines,120
Delays,LAX,4,Hawaiian Airlines,7.0,0.0,1021.0,81.0,16.0,0.0,9.0
Totals,LAX,4,Envoy Air,6
Delays,LAX,4,Envoy Air,0.0,1.0,0,0,0,0,0
Totals,LAX,4,Spirit Airlines,315
Delays,LAX,4,Spirit Airlines,86.0,1.0,1197.0,179.0,2222.0,0.0,2246.0
Totals,LAX,4,SkyWest Airlines,3768
Delays,LAX,4,SkyWest Airlines,612.0,28.0,11766.0,120.0,3469.0,2.0,16232.0
Totals,LAX,4,United Airlines,2407
Delays,LAX,4,United Airlines,503.0,19.0,9498.0,172.0,4530.0,0.0,10286.0
Totals,LAX,4,US Airways,605
Delays,LAX,4,US Airways,87.0,0.0,1422.0,0.0,845.0,0.0,1292.0
Totals,LAX,4,Virgin America,1060
Delays,LAX,4,Virgin America,140.0,4.0,1051.0,754.0,3900.0,0.0,2273.0
Totals,LAX,4,Southwest Airlines,3356
Delays,LAX,4,Southwest Airlines,964.0,34.0,11862.0,358.0,2590.0,0.0,23351.0
Totals,MSP,4,American Airlines,344
Delays,MSP,4,American Airlines,50.0,5.0,866.0,41.0,1083.0,0.0,1874.0
Totals,MSP,4,Alaska Airlines,60
Delays,MSP,4,Alaska Airlines,10.0,1.0,161.0,17.0,76.0,0.0,232.0
Totals,MSP,4,Delta Air Lines,4949
Delays,MSP,4,Delta Air Lines,524.0,1.0,12116.0,3175.0,11265.0,0.0,5173.0
Totals,MSP,4,ExpressJet Airlines,825
Delays,MSP,4,ExpressJet Airlines,142.0,11.0,3302.0,0.0,1627.0,0.0,3240.0
Totals,MSP,4,Frontier Airlines,95
