RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,5,American Airlines,475
Delays,LAS,5,JetBlue Airways,85.0,3.0,853.0,226.0,2030.0,0.0,2194.0
Totals,LAS,5,Delta Air Lines,952
Delays,LAS,5,Delta Air Lines,117.0,1.0,4053.0,85.0,2483.0,0.0,2060.0
Totals,LAS,5,Frontier Airlines,454
Delays,LAS,5,Frontier Airlines,137.0,1.0,2901.0,56.0,3858.0,0.0,3340.0
Totals,LAS,5,Hawaiian Airlines,76
Delays,LAS,5,Hawaiian Airlines,7.0,0.0,586.0,16.0,0.0,0.0,83.0
Totals,LAS,5,Spirit Airlines,862
Delays,LAS,5,Spirit Airlines,312.0,22.0,4642.0,237.0,6750.0,17.0,9749.0
Totals,LAS,5,SkyWest Airlines,247
Delays,LAS,5,SkyWest Airlines,32.0,4.0,640.0,196.0,586.0,0.0,1203.0
Totals,LAS,5,United Airlines,1168
Delays,LAS,5,United Airlines,240.0,3.0,3389.0,75.0,5141.0,0.0,6751.0
Totals,LAS,5,US Airways,522
Delays,LAS,5,US Airways,28.0,1.0,1388.0,49.0,1767.0,40.0,114.0
Totals,LAS,5,Virgin America,336
Delays,LAS,5,Virgin America,105.0,0.0,564.0,68.0,3058.0,0.0,1455.0
Totals,LAS,5,Southwest Airlines,6465
Delays,LAS,5,Southwest Airlines,1714.0,31.0,28263.0,1489.0,10989.0,0.0,34086.0
Totals,LAX,5,American Airlines,2711
Delays,LAX,5,American Airlines,388.0,14.0,9598.0,154.0,7970.0,12.0,9533.0
Totals,LAX,5,Alaska Airlines,717
Delays,LAX,5,Alaska Airlines,34.0,0.0,504.0,11.0,386.0,16.0,484.0
Totals,LAX,5,JetBlue Airways,396
Delays,LAX,5,JetBlue Airways,74.0,0.0,854.0,279.0,2042.0,0.0,950.0
Totals,LAX,5,Delta Air Lines,2124
Delays,LAX,5,Delta Air Lines,361.0,0.0,11701.0,45.0,2586.0,41.0,4761.0
Totals,LAX,5,Frontier Airlines,147
Delays,LAX,5,Frontier Airlines,32.0,1.0,1389.0,0.0,617.0,0.0,301.0
Totals,LAX,5,Hawaiian Airlines,135
Delays,LAX,5,Hawaiian Airlines,11.0,1.0,1750.0,6.0,12.0,0.0,29.0
Totals,LAX,5,Spirit Airlines,396
Delays,LAX,5,Spirit Airlines,157.0,3.0,2137.0,0.0,4609.0,41.0,5324.0
Totals,LAX,5,SkyWest Airlines,3551
Delays,LAX,5,SkyWest Airlines,564.0,26.0,10061.0,143.0,3417.0,173.0,13645.0
Totals,LAX,5,United Airlines,2625
Delays,LAX,5,United Airlines,560.0,14.0,9055.0,0.0,6173.0,0.0,11422.0
Totals,LAX,5,US Airways,641
Delays,LAX,5,US Airways,43.0,0.0,1184.0,0.0,1054.0,0.0,700.0
Totals,LAX,5,Virgin America,1091
Delays,LAX,5,Virgin America,208.0,0.0,1934.0,520.0,6848.0,0.0,2343.0
Totals,LAX,5,Southwest Airlines,3443
Delays,LAX,5,Southwest Airlines,1127.0,38.0,12184.0,606.0,5671.0,27.0,27581.0
Totals,MSP,5,American Airlines,353
Delays,MSP,5,American Airlines,48.0,7.0,908.0,134.0,1072.0,0.0,1239.0
Totals,MSP,5,Alaska Airlines,62
Delays,MSP,5,Alaska Airlines,5.0,0.0,135.0,0.0,114.0,0.0,0.0
Totals,MSP,5,Delta Air Lines,5234
Delays,MSP,5,Delta Air Lines,587.0,0.0,12203.0,1030.0,10966.0,0.0,6394.0
Totals,MSP,5,ExpressJet Airlines,771
Delays,MSP,5,ExpressJet Airlines,162.0,9.0,4139.0,49.0,1576.0,0.0,4861.0
Totals,MSP,5,Frontier Airlines,204
Delays,MSP,5,Frontier Airlines,43.0,0.0,1218.0,0.0,1651.0,0.0,1023.0
Totals,MSP,5,Envoy Air,21
Delays,MSP,5,Envoy Air,8.0,1.0,28.0,0.0,119.0,0.0,306.0
Totals,MSP,5,Spirit Airlines,310
Delays,MSP,5,Spirit Airlines,116.0,13.0,1472.0,21.0,3933.0,0.0,5193.0
Totals,MSP,5,SkyWest Airlines,2210
Delays,MSP,5,SkyWest Airlines,196.0,9.0,4440.0,601.0,2038.0,0.0,4180.0
Totals,MSP,5,United Airlines,347
Delays,MSP,5,United Airlines,97.0,2.0,1132.0,210.0,1591.0,0.0,2436.0
Totals,MSP,5,US Airways,347
Delays,MSP,5,US Airways,34.0,1.0,708.0,15.0,1077.0,0.0,800.0
Totals,MSP,5,Southwest Airlines,626
Delays,MSP,5,Southwest Airlines,78.0,6.0,1244.0,349.0,529.0,0.0,1906.0
Totals,ORD,5,American Airlines,4529
Delays,ORD,5,American Airlines,914.0,48.0,16715.0,1787.0,12012.0,48.0,18921.0
Totals,ORD,5,Alaska Airlines,180
Delays,ORD,5,Alaska Airlines,18.0,1.0,180.0,12.0,34.0,0.0,278.0
Totals,ORD,5,JetBlue Airways,237
Delays,ORD,5,JetBlue Airways,67.0,0.0,348.0,174.0,1444.0,0.0,946.0
Totals,ORD,5,Delta Air Lines,705
Delays,ORD,5,Delta Air Lines,111.0,2.0,1969.0,390.0,1924.0,0.0,2934.0
