RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,9,American Airlines,919
Delays,ATL,9,American Airlines,67.0,8.0,869.0,242.0,1271.0,0.0,2245.0
Totals,ATL,9,Alaska Airlines,60
Delays,ATL,9,Alaska Airlines,6.0,0.0,87.0,0.0,161.0,0.0,109.0
Totals,ATL,9,Delta Air Lines,20118
Delays,ATL,9,Delta Air Lines,1903.0,0.0,31417.0,15764.0,21393.0,31.0,17296.0
Totals,ATL,9,ExpressJet Airlines,4856
Delays,ATL,9,ExpressJet Airlines,743.0,10.0,24121.0,0.0,4204.0,0.0,10202.0
Totals,ATL,9,Frontier Airlines,540
Delays,ATL,9,Frontier Airlines,117.0,0.0,1941.0,117.0,2197.0,0.0,4042.0
Totals,ATL,9,Envoy Air,68
Delays,ATL,9,Envoy Air,10.0,2.0,54.0,65.0,328.0,0.0,327.0
Totals,ATL,9,Spirit Airlines,581
Delays,ATL,9,Spirit Airlines,231.0,4.0,4769.0,185.0,5933.0,12.0,4485.0
Totals,ATL,9,SkyWest Airlines,389
Delays,ATL,9,SkyWest Airlines,36.0,1.0,475.0,22.0,867.0,0.0,1254.0
Totals,ATL,9,United Airlines,326
Delays,ATL,9,United Airlines,58.0,1.0,378.0,183.0,515.0,0.0,1305.0
Totals,ATL,9,Southwest Airlines,3476
Delays,ATL,9,Southwest Airlines,512.0,12.0,6506.0,1366.0,3976.0,9.0,9298.0
Totals,DEN,9,American Airlines,829
Delays,DEN,9,American Airlines,97.0,4.0,2966.0,30.0,1276.0,0.0,3011.0
Totals,DEN,9,Alaska Airlines,144
Delays,DEN,9,Alaska Airlines,9.0,0.0,179.0,0.0,141.0,0.0,243.0
Totals,DEN,9,JetBlue Airways,91
Delays,DEN,9,JetBlue Airways,19.0,0.0,33.0,0.0,217.0,0.0,304.0
Totals,DEN,9,Delta Air Lines,669
Delays,DEN,9,Delta Air Lines,58.0,0.0,1433.0,15.0,854.0,0.0,788.0
Totals,DEN,9,Frontier Airlines,1972
Delays,DEN,9,Frontier Airlines,162.0,0.0,2508.0,64.0,3718.0,0.0,2187.0
Totals,DEN,9,Spirit Airlines,320
Delays,DEN,9,Spirit Airlines,38.0,0.0,201.0,107.0,610.0,0.0,872.0
Totals,DEN,9,SkyWest Airlines,4126
Delays,DEN,9,SkyWest Airlines,515.0,15.0,13858.0,337.0,3515.0,0.0,8709.0
Totals,DEN,9,United Airlines,4212
Delays,DEN,9,United Airlines,562.0,4.0,10590.0,292.0,6084.0,0.0,11098.0
Totals,DEN,9,Southwest Airlines,5034
Delays,DEN,9,Southwest Airlines,669.0,2.0,9187.0,1117.0,4163.0,0.0,11043.0
Totals,DFW,9,American Airlines,11889
Delays,DFW,9,American Airlines,1681.0,23.0,35867.0,802.0,11732.0,10.0,23068.0
Totals,DFW,9,Alaska Airlines,132
Delays,DFW,9,Alaska Airlines,4.0,0.0,9.0,0.0,198.0,0.0,135.0
Totals,DFW,9,JetBlue Airways,56
Delays,DFW,9,JetBlue Airways,3.0,0.0,6.0,0.0,60.0,0.0,23.0
Totals,DFW,9,Delta Air Lines,494
Delays,DFW,9,Delta Air Lines,39.0,0.0,956.0,45.0,209.0,0.0,465.0
Totals,DFW,9,ExpressJet Airlines,2522
Delays,DFW,9,ExpressJet Airlines,281.0,5.0,7504.0,0.0,1672.0,0.0,5888.0
Totals,DFW,9,Frontier Airlines,119
Delays,DFW,9,Frontier Airlines,12.0,0.0,312.0,0.0,44.0,0.0,611.0
Totals,DFW,9,Envoy Air,3741
Delays,DFW,9,Envoy Air,428.0,2.0,10722.0,806.0,2279.0,79.0,4836.0
