RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,2,American Airlines,358
Totals,LAS,2,Delta Air Lines,782
Delays,LAS,2,Delta Air Lines,129.0,7.0,2007.0,470.0,1204.0,0.0,3115.0
Totals,LAS,2,Frontier Airlines,215
Delays,LAS,2,Frontier Airlines,89.0,2.0,1267.0,0.0,2329.0,0.0,2290.0
Totals,LAS,2,Hawaiian Airlines,68
Delays,LAS,2,Hawaiian Airlines,6.0,0.0,1635.0,0.0,0.0,0.0,127.0
Totals,LAS,2,Spirit Airlines,670
Delays,LAS,2,Spirit Airlines,174.0,12.0,2158.0,138.0,3551.0,24.0,5557.0
Totals,LAS,2,SkyWest Airlines,262
Delays,LAS,2,SkyWest Airlines,34.0,3.0,437.0,0.0,845.0,0.0,1359.0
Totals,LAS,2,United Airlines,993
Delays,LAS,2,United Airlines,209.0,17.0,2227.0,497.0,4069.0,0.0,4937.0
Totals,LAS,2,US Airways,452
Delays,LAS,2,US Airways,54.0,10.0,1736.0,0.0,589.0,0.0,643.0
Totals,LAS,2,Virgin America,309
Delays,LAS,2,Virgin America,74.0,12.0,347.0,122.0,2749.0,0.0,2609.0
Totals,LAS,2,Southwest Airlines,5375
Delays,LAS,2,Southwest Airlines,1282.0,68.0,16970.0,2085.0,5471.0,12.0,26897.0
Totals,LAX,2,American Airlines,2385
Delays,LAX,2,American Airlines,312.0,74.0,6503.0,903.0,7027.0,15.0,8621.0
Totals,LAX,2,Alaska Airlines,557
Delays,LAX,2,Alaska Airlines,56.0,0.0,801.0,0.0,1113.0,0.0,1702.0
Totals,LAX,2,JetBlue Airways,320
Delays,LAX,2,JetBlue Airways,86.0,10.0,1464.0,0.0,1390.0,0.0,2009.0
Totals,LAX,2,Delta Air Lines,1630
Delays,LAX,2,Delta Air Lines,316.0,12.0,6004.0,235.0,3934.0,0.0,6499.0
Totals,LAX,2,Frontier Airlines,72
Delays,LAX,2,Frontier Airlines,19.0,0.0,22.0,0.0,482.0,0.0,414.0
Totals,LAX,2,Hawaiian Airlines,112
Delays,LAX,2,Hawaiian Airlines,9.0,0.0,1388.0,0.0,0.0,17.0,0.0
Totals,LAX,2,Envoy Air,28
Delays,LAX,2,Envoy Air,4.0,2.0,28.0,0.0,177.0,0.0,0.0
Totals,LAX,2,Spirit Airlines,252
Delays,LAX,2,Spirit Airlines,85.0,5.0,1140.0,0.0,2338.0,24.0,2976.0
Totals,LAX,2,SkyWest Airlines,3880
Delays,LAX,2,SkyWest Airlines,692.0,60.0,12871.0,1172.0,4710.0,203.0,22516.0
Totals,LAX,2,United Airlines,2138
Delays,LAX,2,United Airlines,406.0,42.0,7785.0,343.0,4877.0,0.0,8305.0
Totals,LAX,2,US Airways,523
Delays,LAX,2,US Airways,78.0,7.0,1534.0,280.0,1365.0,11.0,2065.0
Totals,LAX,2,Virgin America,906
Delays,LAX,2,Virgin America,140.0,22.0,1875.0,659.0,5046.0,0.0,2263.0
Totals,LAX,2,Southwest Airlines,2959
Delays,LAX,2,Southwest Airlines,852.0,93.0,11816.0,772.0,3549.0,0.0,17536.0
Totals,MSP,2,American Airlines,327
Delays,MSP,2,American Airlines,65.0,15.0,1576.0,138.0,1144.0,0.0,1741.0
Totals,MSP,2,Alaska Airlines,28
Delays,MSP,2,Alaska Airlines,1.0,0.0,0.0,0.0,65.0,0.0,0.0
Totals,MSP,2,Delta Air Lines,3950
Delays,MSP,2,Delta Air Lines,707.0,41.0,15486.0,3046.0,10960.0,0.0,8305.0
Totals,MSP,2,ExpressJet Airlines,652
Delays,MSP,2,ExpressJet Airlines,174.0,28.0,5241.0,129.0,2126.0,0.0,5515.0
Totals,MSP,2,Frontier Airlines,56
Delays,MSP,2,Frontier Airlines,12.0,0.0,80.0,30.0,338.0,0.0,543.0
Totals,MSP,2,Envoy Air,55
Delays,MSP,2,Envoy Air,23.0,7.0,451.0,26.0,679.0,0.0,565.0
Totals,MSP,2,Spirit Airlines,308
Delays,MSP,2,Spirit Airlines,110.0,4.0,1854.0,124.0,2780.0,0.0,3445.0
Totals,MSP,2,SkyWest Airlines,1773
Delays,MSP,2,SkyWest Airlines,296.0,29.0,6065.0,818.0,4335.0,0.0,7688.0
Totals,MSP,2,United Airlines,159
Delays,MSP,2,United Airlines,30.0,3.0,409.0,30.0,760.0,0.0,521.0
Totals,MSP,2,US Airways,331
Delays,MSP,2,US Airways,43.0,7.0,1034.0,166.0,853.0,0.0,969.0
Totals,MSP,2,Southwest Airlines,578
Delays,MSP,2,Southwest Airlines,110.0,16.0,1434.0,125.0,605.0,0.0,1811.0
Totals,ORD,2,American Airlines,3589
Delays,ORD,2,American Airlines,974.0,215.0,16846.0,9875.0,10258.0,24.0,15882.0
Totals,ORD,2,Alaska Airlines,84
Delays,ORD,2,Alaska Airlines,14.0,1.0,74.0,54.0,190.0,0.0,670.0
Totals,ORD,2,JetBlue Airways,149
Delays,ORD,2,JetBlue Airways,51.0,15.0,674.0,167.0,1155.0,0.0,1850.0
Totals,ORD,2,Delta Air Lines,523
Delays,ORD,2,Delta Air Lines,138.0,8.0,2431.0,1666.0,1968.0,0.0,4856.0
Totals,ORD,2,ExpressJet Airlines,3745
Delays,ORD,2,ExpressJet Airlines,1152.0,281.0,20079.0,6111.0,16471.0,0.0,28747.0
Totals,ORD,2,Frontier Airlines,263
Delays,ORD,2,Frontier Airlines,127.0,7.0,2944.0,1156.0,4651.0,0.0,3336.0
Totals,ORD,2,Envoy Air,5047
Delays,ORD,2,Envoy Air,1945.0,682.0,33578.0,22677.0,36028.0,12.0,47653.0
Totals,ORD,2,Spirit Airlines,716
Delays,ORD,2,Spirit Airlines,295.0,32.0,7263.0,2385.0,6172.0,55.0,4668.0
Totals,ORD,2,SkyWest Airlines,2885
Delays,ORD,2,SkyWest Airlines,1093.0,220.0,21481.0,10504.0,12357.0,33.0,28322.0
Totals,ORD,2,United Airlines,4173
Delays,ORD,2,United Airlines,1644.0,200.0,25436.0,15403.0,15458.0,0.0,20040.0
Totals,ORD,2,US Airways,573
Delays,ORD,2,US Airways,110.0,36.0,2993.0,475.0,1342.0,0.0,2055.0
Totals,ORD,2,Virgin America,65
Delays,ORD,2,Virgin America,14.0,2.0,81.0,70.0,591.0,0.0,388.0
Totals,PHX,2,American Airlines,451
Delays,PHX,2,American Airlines,66.0,20.0,2899.0,32.0,1322.0,5.0,1908.0
Totals,PHX,2,Alaska Airlines,204
Delays,PHX,2,Alaska Airlines,23.0,0.0,158.0,24.0,307.0,0.0,978.0
Totals,PHX,2,JetBlue Airways,58
Delays,PHX,2,JetBlue Airways,26.0,3.0,208.0,0.0,540.0,17.0,704.0
Totals,PHX,2,Delta Air Lines,564
Delays,PHX,2,Delta Air Lines,63.0,4.0,1558.0,70.0,941.0,90.0,1564.0
Totals,PHX,2,Frontier Airlines,207
Delays,PHX,2,Frontier Airlines,70.0,2.0,1534.0,45.0,1777.0,0.0,2401.0
Totals,PHX,2,Hawaiian Airlines,28
Delays,PHX,2,Hawaiian Airlines,2.0,0.0,353.0,1.0,0.0,0.0,0.0
Totals,PHX,2,Spirit Airlines,112
Delays,PHX,2,Spirit Airlines,40.0,5.0,459.0,0.0,1734.0,0.0,306.0
Totals,PHX,2,SkyWest Airlines,1451
Delays,PHX,2,SkyWest Airlines,147.0,11.0,1954.0,634.0,2496.0,22.0,6405.0
Totals,PHX,2,United Airlines,554
Delays,PHX,2,United Airlines,110.0,4.0,1635.0,103.0,1494.0,0.0,1924.0
Totals,PHX,2,US Airways,3983
Delays,PHX,2,US Airways,678.0,67.0,14589.0,4055.0,11190.0,188.0,12559.0
Totals,PHX,2,Southwest Airlines,4304
Delays,PHX,2,Southwest Airlines,985.0,48.0,12590.0,881.0,7094.0,5.0,20457.0
Totals,SFO,2,American Airlines,791
Delays,SFO,2,American Airlines,125.0,39.0,4860.0,2.0,2616.0,0.0,4822.0
Totals,SFO,2,Alaska Airlines,419
Delays,SFO,2,Alaska Airlines,85.0,7.0,1309.0,0.0,734.0,0.0,4968.0
Totals,SFO,2,JetBlue Airways,393
Delays,SFO,2,JetBlue Airways,96.0,9.0,1573.0,402.0,817.0,0.0,3937.0
Totals,SFO,2,Delta Air Lines,556
Delays,SFO,2,Delta Air Lines,80.0,8.0,1796.0,516.0,1208.0,0.0,2447.0
Totals,SFO,2,Frontier Airlines,128
Delays,SFO,2,Frontier Airlines,38.0,0.0,136.0,0.0,1254.0,0.0,1801.0
Totals,SFO,2,Hawaiian Airlines,56
Delays,SFO,2,Hawaiian Airlines,5.0,0.0,1037.0,0.0,21.0,0.0,0.0
Totals,SFO,2,SkyWest Airlines,3108
Delays,SFO,2,SkyWest Airlines,759.0,133.0,14829.0,1734.0,6026.0,0.0,26956.0
Totals,SFO,2,United Airlines,3439
Delays,SFO,2,United Airlines,805.0,67.0,14971.0,689.0,8845.0,0.0,18584.0
Totals,SFO,2,US Airways,364
Delays,SFO,2,US Airways,52.0,6.0,1533.0,326.0,547.0,0.0,871.0
Totals,SFO,2,Virgin America,1201
Delays,SFO,2,Virgin America,199.0,27.0,1947.0,477.0,2399.0,0.0,10310.0
Totals,SFO,2,Southwest Airlines,1114
Delays,SFO,2,Southwest Airlines,251.0,52.0,2575.0,207.0,1792.0,0.0,10487.0
